Points_0,Points_1,Points_2
-12.3786,-153.127,1222.8
-12.3258,-153.637,1229.29
-11.6102,-151.995,1197.41
-11.8096,-151.948,1224.39
-11.9139,-149.57,1196.08
-12.5541,-149.26,1224.04
-11.5434,-149.715,1225.83
-11.8913,-149.034,1199.59
-11.9684,-148.243,1226.04
-11.2033,-148.078,1227.38
-11.6114,-146.306,1194.17
-12.361,-146.025,1226.3
-12.6077,-144.526,1194.07
-12.0526,-145.216,1193.99
-11.4321,-145.671,1193.89
-11.3849,-145.273,1193.63
-11.3206,-145.498,1232.63
-12.304,-144.069,1226.77
-11.9142,-142.983,1227.89
-12.7046,-143.987,1231.36
-12.6365,-143.465,1231.62
-12.5906,-143.216,1231.86
-11.7632,-141.503,1192.81
-12.5141,-141.453,1229.16
-11.7272,-141.206,1229.83
-11.4254,-141.987,1229.16
-11.2591,-141.357,1229.86
-12.6934,-141.165,1230.02
-12.7596,-141.229,1230.93
-12.0913,-141.057,1230.01
-12.3709,-141.147,1231.77
-12.2239,-140.7,1196.2
-12.0621,-140.685,1231.02
-11.741,-140.733,1230.61
-11.9463,-140.556,1231.73
-11.5046,-140.563,1232.95
-11.4461,-140.157,1231.79
-11.2674,-139.977,1232.78
-11.1277,-141.297,1233.57
-11.1235,-140.529,1233.61
-12.5208,-137.979,1195.93
-12.305,-138.772,1195.88
-12.1681,-137.564,1192.33
-12.4948,-137.316,1195.89
-11.8582,-136.732,1195.5
-11.741,-137.4,1195.43
-12.6211,-135.542,1196.27
-12.0457,-136.054,1195.7
-12.448,-133.886,1192.25
-11.446,-133.1,1191.71
-12.7192,-133.685,1197.01
-11.7807,-132.659,1196.36
-11.2465,-131.734,1196.23
-12.4656,-131.609,1197.57
-11.7351,-130.718,1197.23
-11.834,-129.089,1198.27
-12.2382,-127.689,1193.41
-11.6732,-127.111,1200.03
-11.9591,-125.998,1202.39
-11.7464,-126.257,1201.7
-12.3291,-126.016,1202.78
-12.1294,-123.601,1195.99
-11.4832,-124.042,1194.94
-11.6357,-123.676,1203.49
-11.7248,-123.121,1196.01
-11.2912,-122.978,1195.63
-12.2075,-122.424,1197.23
-11.8858,-122.884,1196.48
-11.9036,-122.156,1197.24
-12.0373,-122.528,1203.74
-11.8869,-121.513,1198.05
-11.3145,-121.621,1197.4
-11.3076,-120.342,1199.31
-12.2562,-120.844,1200.22
-12.5213,-120.962,1202.41
-12.7005,-121.399,1202.98
-11.9105,-120.751,1203.21
-11.8489,-121.117,1203.5
-11.638,-121.517,1203.72
-11.3092,-119.801,1200.99
-11.5137,-119.83,1202.31
-11.3975,-119.834,1202.8
